"Issuance Date","Vintage Start","Vintage End","ID","Name","Country","Project Type","Methodology","Total Vintage Quantity","Credits Quantity Issued","Serial Number","Additional Certifications","Retirement/Cancellation Date","Retirement Beneficiary","Retirement Reason","Retirement Details"
"06/10/2021","01/01/2013","31/12/2013","875","FLORESTAL SANTA MARIA PROJECT","Brazil","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","910,410","50,000","11421-327989214-328039213-VCS-VCU-261-VER-BR-14-875-01012013-31122013-1","Social Carbon","27/10/2021","0xb0EE473B1E6dDEcD7A86E4C00D9B0A2D158e01cf","Other","TOUCAN-1.0-137-0x0bab386f3e1cb05b8f6e2a05894bbcd009de73b316d5f9eec6c345a2fb30ae45-493"
"06/10/2021","04/05/2012","31/12/2012","875","FLORESTAL SANTA MARIA PROJECT","Brazil","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","604,923","30,000","11422-328344419-328374418-VCS-VCU-261-VER-BR-14-875-04052012-31122012-1","Social Carbon","19/10/2021","0x17303b4e90ea4f0a60407ff6c5471ba689e1ef34","Other","TOUCAN-1.0-137-0x81bf54de49e114fbd19dcbd85ae7764115a11a2b47a407e32edd23d68ea7257f-318"
"06/10/2021","04/05/2012","31/12/2012","875","FLORESTAL SANTA MARIA PROJECT","Brazil","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","604,923","15,477","11422-328328942-328344418-VCS-VCU-261-VER-BR-14-875-04052012-31122012-1","Social Carbon","19/10/2021","0x9D341AaAcB94085f9c9BF37D8A6329269775BaB2","Other","TOUCAN-1.0-137-0x413b9d27239e12bb712f0bd7a96c9c9ff81021358c6edd320aac5d4a47039fee-317"
"06/10/2021","04/05/2012","31/12/2012","875","FLORESTAL SANTA MARIA PROJECT","Brazil","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","604,923","60,000","11422-328374419-328434418-VCS-VCU-261-VER-BR-14-875-04052012-31122012-1","Social Carbon","19/10/2021","0xE0c7dBd01D0571c4d8B89bd15c42Ee1c7659d087","Other","TOUCAN-1.0-137-0x63423dd14ec066a79f1eacc49deba0a36da9c30a38c99b799694c9b1a3f93033-341"
"06/10/2021","04/05/2012","31/12/2012","875","FLORESTAL SANTA MARIA PROJECT","Brazil","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","604,923","30,000","11422-328434419-328464418-VCS-VCU-261-VER-BR-14-875-04052012-31122012-1","Social Carbon","25/10/2021","0xb0EE473B1E6dDEcD7A86E4C00D9B0A2D158e01cf","Other","TOUCAN-1.0-137-0x717ff1b9ed25c2d8974ff265d81acd3b4b2cd94ab62425bee7162cbd6d4bb625-464"
"06/10/2021","04/05/2012","31/12/2012","875","FLORESTAL SANTA MARIA PROJECT","Brazil","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","604,923","44,962","11422-328464419-328509380-VCS-VCU-261-VER-BR-14-875-04052012-31122012-1","Social Carbon","26/10/2021","0x842e7ebbf391358da57cd9fe647a4bae415b4e0e","Other","TOUCAN-1.0-137-0x5a0a642c31ff0adf406b97f61a475df130b8ad7429215e673738f70b167fe0bb-314"
"01/10/2021","01/01/2020","31/12/2020","292","150 MW grid connected Wind Power based electricity generation project in Gujarat, India.","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","194,052","100","11384-324399956-324400055-VCS-VCU-1491-VER-IN-1-292-01012020-31122020-0","","26/10/2021","0x86C4271A3bb3dfC24Af00Df422902aF158e0703c","Other","TOUCAN-1.0-137-0xf2f547b9194467204cb501d2bd4b172fec3b8eed7512a181215c33f7720161d5-459"
"30/09/2021","01/01/2019","31/12/2019","1566","REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM)","Colombia","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","4,921,874","45,000","11377-323597077-323642076-VCS-VCU-394-VER-CO-14-1566-01012019-31122019-0","","14/10/2021","0x5e037e2f5C92dc9E180426171b62Da65d3AD5325","Other","TOUCAN-1.0-137-0x5ed226a37bbfa05b5c097260bd88740b7af97de99c58e62752729188c71a7f0a-39"
"28/09/2021","01/01/2009","31/12/2009","812","Bull Run Overseas Forest Carbon Project","Belize","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","121,830","3,000","11343-320669256-320672255-VCS-VCU-352-VER-BZ-14-812-01012009-31122009-0","","18/10/2021","0xFea7485ec830d655ae7C6dC79DEc03e25539E14b","Other","TOUCAN-1.0-137-0xd806072ee367e019914e31beb9612709bb7d9e0fa576c594508816a61368f14a-161"
"28/09/2021","01/01/2009","31/12/2009","812","Bull Run Overseas Forest Carbon Project","Belize","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","121,830","20,000","11343-320672256-320692255-VCS-VCU-352-VER-BZ-14-812-01012009-31122009-0","","14/10/2021","0xAf529400FF068AFbdc907c699B9184a4381481B0","Other","TOUCAN-1.0-137-0x6dd032a263c3199b33b119ac8f86e05eefb00e132786775b9baea627aea4789f-59"
"24/09/2021","01/10/2009","31/12/2009","766","Teesta- V Hydro Power project in Sikkim","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","402,007","2,007","11325-319694151-319696157-VCS-VCU-291-VER-IN-1-766-01102009-31122009-0","","27/10/2021","0xFea7485ec830d655ae7C6dC79DEc03e25539E14b","Other","TOUCAN-1.0-137-0x7b89af7760cd2e7ab06d53b410c4fa37d0d313037a184b3fc5b360eb39357fd0-505"
"24/09/2021","01/01/2010","31/12/2010","766","Teesta- V Hydro Power project in Sikkim","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","2,093,479","25,000","11326-319755651-319780650-VCS-VCU-291-VER-IN-1-766-01012010-31122010-0","","26/10/2021","0xd85cF713C480a6dFac34121Ee362A5e0Ef74001F","Other","TOUCAN-1.0-137-0xdab43ff1d00b0d9fa9bb8e30ee2bcf02005cc1d6257c6123ed2a5eb60f06e707-477"
"24/09/2021","01/01/2010","31/12/2010","766","Teesta- V Hydro Power project in Sikkim","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","2,093,479","25,000","11326-319780651-319805650-VCS-VCU-291-VER-IN-1-766-01012010-31122010-0","","26/10/2021","0xd85cF713C480a6dFac34121Ee362A5e0Ef74001F","Other","TOUCAN-1.0-137-0x83d544b77328b8656a8bf20832193acc9d02cb066c8d41b52ee40bbe73dbcc72-468"
"24/09/2021","01/01/2010","31/12/2010","766","Teesta- V Hydro Power project in Sikkim","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","2,093,479","25,887","11326-319805651-319831537-VCS-VCU-291-VER-IN-1-766-01012010-31122010-0","","28/10/2021","0x327924cb8fb1daf959bbb8441f9b522e716f7794","Other","TOUCAN-1.0-137-0x6b0d2fbd8d05cee937adef5e31a484a7b1e2e133d633a0bdad889602721052d1-512"
"23/09/2021","01/01/2013","31/12/2013","830","Beijing Guanting Wind Power Project Phase II and Phase II addition","China","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","185,233","8,827","11319-319148024-319156850-VCS-VCU-324-VER-CN-1-830-01012013-31122013-0","","19/10/2021","0xE8d7763b7C6F969cF1b2eE8a88281bB172Aa91Ff","Other","TOUCAN-1.0-137-0x513f39ffe0c2e693703c5fd20442018014a0b9180a37fb0478112c95c46a1e08-287"
"23/09/2021","01/01/2013","31/12/2013","830","Beijing Guanting Wind Power Project Phase II and Phase II addition","China","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","185,233","120,000","11319-319028024-319148023-VCS-VCU-324-VER-CN-1-830-01012013-31122013-0","","18/10/2021","0x6a5dBF2Fb5206EC8192620810C3edB6d5e62B188","Other","TOUCAN-1.0-137-0xf3fd5e342c6fb75b0fda7a97760990c921f483d36a996db93543b52d08dd7201-190"
"23/09/2021","28/07/2012","31/12/2012","830","Beijing Guanting Wind Power Project Phase II and Phase II addition","China","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","74,414","74,412","11320-319213259-319287670-VCS-VCU-324-VER-CN-1-830-28072012-31122012-0","","18/10/2021","0xc450fEbECA0A1A4f802C74b5a15CfC90b799eaF5","Other","TOUCAN-1.0-137-0x5d97ee95fc6c482f62b745936ac858e8948a3349846ababdc2caa533b3f8bec1-182"
"23/09/2021","01/01/2013","31/12/2013","1100","SANIBEY DAM AND HYDROELECTRIC POWER PLANT","Turkey","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","383,952","20,000","11307-317609841-317629840-VCS-VCU-279-VER-TR-1-1100-01012013-31122013-0","","28/10/2021","0xd85cF713C480a6dFac34121Ee362A5e0Ef74001F","Other","TOUCAN-1.0-137-0x76d5772f0df80754f6b9037dfdcaaacb2c48d887a79b27fe7048aa74657fc37a-507"
"23/09/2021","01/06/2012","31/12/2012","1100","SANIBEY DAM AND HYDROELECTRIC POWER PLANT","Turkey","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","230,753","75,000","11308-317993803-318068802-VCS-VCU-279-VER-TR-1-1100-01062012-31122012-0","","19/10/2021","0xE1D3baA26D94F53897eFBeb550D95cc2AB72D5F7","Other","TOUCAN-1.0-137-0xfcffbad8cb7e62c35826acf0160f99405f7e58c74ad375ea205d4d38e0626df2-238"
"16/09/2021","01/01/2015","31/12/2015","631","13.25 MW Wind Power Generation by RMTL, in Kutch, Gujarat","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","19,946","19,946","11262-305436603-305456548-VCS-VCU-291-VER-IN-1-631-01012015-31122015-0","","18/10/2021","0xE519B28E8F96e229498F15bb2DA4eC0e942f688F","Other","TOUCAN-1.0-137-0x90ea84f78c248d4f054a7838e94e5ef48f30791ce13b62c017dd471a0b0a9171-263"
"15/09/2021","04/05/2012","31/12/2012","875","FLORESTAL SANTA MARIA PROJECT","Brazil","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","604,923","1,000","11260-305307247-305308246-VCS-VCU-261-VER-BR-14-875-04052012-31122012-1","Social Carbon","18/10/2021","0x842E7EBBF391358dA57cd9fe647a4BaE415B4E0e","Other","TOUCAN-1.0-137-0xa811dd1c714740ffa793d0d16b3a42f051907a96dfd7deb1481a71d0d40e1f4e-268"
"15/09/2021","04/05/2012","31/12/2012","875","FLORESTAL SANTA MARIA PROJECT","Brazil","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","604,923","3,166","11260-305341581-305344746-VCS-VCU-261-VER-BR-14-875-04052012-31122012-1","Social Carbon","26/10/2021","0x40edf3a8fa8a165cc35eae06839e171c0c7389ab","Other","TOUCAN-1.0-137-0xad3d964158b08898d1446113be4a6d5ad1934ff806b26fea8aac50b9f3cdf1ce-470"
"10/09/2021","01/01/2016","31/12/2016","655","24.8 MW Wind power project by Belgaum Wind Farms Private Ltd. in Gadag, Karnataka","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","36,251","36,251","11234-303823088-303859338-VCS-VCU-291-VER-IN-1-655-01012016-31122016-0","","22/10/2021","0xEE66Bfe308c0DeCe0F25c46B254df50cea743674","Other","TOUCAN-1.0-137-0x3d82a96cba2953028e31a3fdbd47815095d1981bdc084d8cb81773b5e6909f1f-406"
"10/09/2021","01/01/2012","31/12/2012","1052","North Pikounda REDD+","Congo","Agriculture Forestry and Other Land Use","Preventing Planned Degradation","56,209","55,532","11241-304324891-304380422-VCS-VCU-259-VER-CG-14-1052-01012012-31122012-0","","18/10/2021","0xdb97aa9b0c07254ef9e017641f5da271e5c31f35","Other","TOUCAN-1.0-137-0x92178445adc4894608b4aaff6f9a6202e9252b732b44c7e9134df606e1cd7570-177"
"09/09/2021","01/01/2009","31/12/2009","812","Bull Run Overseas Forest Carbon Project","Belize","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","121,830","10,000","11229-303328457-303338456-VCS-VCU-352-VER-BZ-14-812-01012009-31122009-0","","14/10/2021","0xAf529400FF068AFbdc907c699B9184a4381481B0","Other","TOUCAN-1.0-137-0x9d9e13c4bb4adf321b1bf8d4c2e6e749c0904edc8ed69b1c4960f8660428d465-56"
"09/09/2021","01/10/2009","31/12/2009","766","Teesta- V Hydro Power project in Sikkim","India","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","402,007","75,000","11232-303623088-303698087-VCS-VCU-291-VER-IN-1-766-01102009-31122009-0","","25/10/2021","0x664d2c3e201f039E67a70186a3f4CEe20cdFf53b","Other","TOUCAN-1.0-137-0x5062a2051e42a83cfd35b76d281a447da209d66c93b70df9b574931624560b08-466"
"07/09/2021","01/01/2016","27/03/2016","274","Hanuman Ganga Hydro (4.95 MW) Plant at Uttarakhand","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","939","939","11207-301187314-301188252-VCS-VCU-291-VER-IN-1-274-01012016-27032016-0","","15/10/2021","0xee9930a62fbf85fb443ad3d7410da665ebc90b83","Other","TOUCAN-1.0-137- 0x2db9890a1c9c9d6b426a4bec161328a438c2888efd8 4a4ee4ae3b693a86715ee-78"
"07/09/2021","01/01/2009","31/12/2009","812","Bull Run Overseas Forest Carbon Project","Belize","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","121,830","5,000","11196-300771393-300776392-VCS-VCU-352-VER-BZ-14-812-01012009-31122009-0","","14/10/2021","0xAf529400FF068AFbdc907c699B9184a4381481B0","Other","TOUCAN-1.0-137-0x515a251cea0ec365ed10f5b9bb981ca3c88e0a84e4dd8c0e642d8e1dd95f9154-57"
"07/09/2021","01/01/2014","31/12/2014","274","Hanuman Ganga Hydro (4.95 MW) Plant at Uttarakhand","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","4,167","4,167","11208-301188253-301192419-VCS-VCU-291-VER-IN-1-274-01012014-31122014-0","","15/10/2021","0xee9930a62fbf85fb443ad3d7410da665ebc90b83","Other","TOUCAN-1.0-137- 0x6f6fe8500e320be8f58c854f72a1bfdd9c4bc4b061e 4579a59280d19f525e084-79"
"07/09/2021","01/01/2015","31/12/2015","274","Hanuman Ganga Hydro (4.95 MW) Plant at Uttarakhand","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","5,315","5,315","11209-301192420-301197734-VCS-VCU-291-VER-IN-1-274-01012015-31122015-0","","15/10/2021","0xee9930a62fbf85fb443ad3d7410da665ebc90b83","Other","TOUCAN-1.0-137- 0x0216e900bf39c9a20112a7f233ec18999f4cbeaca3f a3ef1bf2cca5cede72dab-80"
"07/09/2021","01/01/2012","31/12/2012","274","Hanuman Ganga Hydro (4.95 MW) Plant at Uttarakhand","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","7,442","7,442","11210-301197735-301205176-VCS-VCU-291-VER-IN-1-274-01012012-31122012-0","","15/10/2021","0xee9930a62fbf85fb443ad3d7410da665ebc90b83","Other","TOUCAN-1.0-137- 0xfb2974103a0d9f7bc9d464e5cab24c3315b47352f9c 220379df1355d8d7dec78-81"
"07/09/2021","01/01/2011","31/12/2011","274","Hanuman Ganga Hydro (4.95 MW) Plant at Uttarakhand","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","13,688","13,688","11211-301205177-301218864-VCS-VCU-291-VER-IN-1-274-01012011-31122011-0","","15/10/2021","0xee9930a62fbf85fb443ad3d7410da665ebc90b83","Other","TOUCAN-1.0-137- 0x13ba642fe7c97f07a16ccff01c2c05eee69d7594e9e 746e450def8c13d8e101d-82"
"07/09/2021","01/04/2010","31/12/2010","274","Hanuman Ganga Hydro (4.95 MW) Plant at Uttarakhand","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","7,941","7,941","11212-301218865-301226805-VCS-VCU-291-VER-IN-1-274-01042010-31122010-0","","15/10/2021","0xee9930a62fbf85fb443ad3d7410da665ebc90b83","Other","TOUCAN-1.0-137- 0x2845c5c1d75c29d80a80f2ddb7eeaef344cd9fed66f d86b091429f3e15d1ed88-83"
"06/09/2021","01/01/2015","31/12/2015","1186","Viñales biomass power plant","Chile","Energy industries (renewable/non-renewable sources)","Electricity and heat generation from biomass","241,788","2,650","11194-300409717-300412366-VCS-VCU-259-VER-CL-1-1186-01012015-31122015-0","","27/10/2021","0xFA3Fc7e2840E476e683ccB181a4c8084CEEf9a26","Other","TOUCAN-1.0-137-0x2a81d864112d7a57060d6f6daa1c44ed98bcb3043b4560bd14df048e15deed31-473"
"02/09/2021","01/01/2015","31/12/2015","1382","The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil","Brazil","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","2,084,635","240","11175-299465979-299466218-VCS-VCU-352-VER-BR-14-1382-01012015-31122015-1","CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold; CCB-Gold","23/10/2021","0xF47147Ff2ECe9eD38eA122BCE5980187d3da2276","Other","TOUCAN-1.0-137-0x2a119ccb69d2aca3e842c88374372f2938ee36418d736d6a19a71b50eac04111-414"
"02/09/2021","01/01/2015","31/12/2015","1382","The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil","Brazil","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","2,084,635","10","11175-299465959-299465968-VCS-VCU-352-VER-BR-14-1382-01012015-31122015-1","CCB-Biodiversity Gold; CCB-Climate Gold; CCB-Community Gold; CCB-Gold","20/10/2021","0xF47147Ff2ECe9eD38eA122BCE5980187d3da2276","Other","TOUCAN-1.0-137-0xfb4c0e5000ec0f954c8f2bba07178e84e69f25dd0c4b412ef41ed08a518276e6-380"
"02/09/2021","01/01/2014","31/12/2014","631","13.25 MW Wind Power Generation by RMTL, in Kutch, Gujarat","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","21,265","9,176","11164-299147454-299156629-VCS-VCU-291-VER-IN-1-631-01012014-31122014-0","","18/10/2021","0xE519B28E8F96e229498F15bb2DA4eC0e942f688F","Other","TOUCAN-1.0-137-0x4ac2aab780d43f7a85c532fd87eb66b54532fbd163f1e1690c4331e6fbebda3a-274"
"02/09/2021","01/01/2016","30/03/2016","631","13.25 MW Wind Power Generation by RMTL, in Kutch, Gujarat","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","1,889","1,889","11167-299194541-299196429-VCS-VCU-291-VER-IN-1-631-01012016-30032016-0","","22/10/2021","0xEE66Bfe308c0DeCe0F25c46B254df50cea743674","Other","TOUCAN-1.0-137-0xe3647e57a9c0b10599d7a172b86168588a454d7c41104072165f3b655fc24207-412"
"31/08/2021","01/01/2009","31/12/2009","812","Bull Run Overseas Forest Carbon Project","Belize","Agriculture Forestry and Other Land Use","Reducing Emissions from Deforestation and Forest Degradation (REDD)","121,830","20,000","11156-285103103-285123102-VCS-VCU-352-VER-BZ-14-812-01012009-31122009-0","","14/10/2021","0xAf529400FF068AFbdc907c699B9184a4381481B0","Other","TOUCAN-1.0-137-0x2d1bb72ec057025520fe0108deef998cbe72bf305b701b2d45252d9730230be6-58"
"26/08/2021","26/12/2014","25/12/2015","414","Hebei Haixing 49.5MW Wind Farm Project","China","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","127,560","20,000","11139-283936841-283956840-VCS-VCU-279-VER-CN-1-414-26122014-25122015-0","","21/10/2021","0xE8d7763b7C6F969cF1b2eE8a88281bB172Aa91Ff","Other","TOUCAN-1.0-137-0xd38e1324aae0d98a1133c0d521cd7a3966167c7640c7171f191beea83621c2ff-394"
"26/08/2021","26/12/2014","25/12/2015","414","Hebei Haixing 49.5MW Wind Farm Project","China","Energy industries (renewable/non-renewable sources)","Grid-connected electricity generation from renewable sources","127,560","22,000","11139-283956841-283978840-VCS-VCU-279-VER-CN-1-414-26122014-25122015-0","","21/10/2021","0xE8d7763b7C6F969cF1b2eE8a88281bB172Aa91Ff","Other","TOUCAN-1.0-137-0xff769f996063a45f76a33172fb6f4b2c2be784cb1fb8b958df87423de917999d-397"
"25/08/2021","01/01/2012","30/09/2012","1203","Suzlon 8.40 MW Wind Power Project","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","12,112","2,112","11099-281096148-281098259-VCS-VCU-1317-VER-IN-1-1203-01012012-30092012-0","","18/10/2021","0xee9930a62fbf85fb443ad3d7410da665ebc90b83","Other","TOUCAN-1.0-137-0xba792249db12691330106e52ac4306f1ad67fd2ec77fdf83a290b71524cfd4ce-201"
"25/08/2021","01/01/2011","31/12/2011","1203","Suzlon 8.40 MW Wind Power Project","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","13,361","3,891","11100-281098260-281102150-VCS-VCU-1317-VER-IN-1-1203-01012011-31122011-0","","18/10/2021","0xee9930a62fbf85fb443ad3d7410da665ebc90b83","Other","TOUCAN-1.0-137-0x5c16dfab4c1ace54ef05a0c743eed33965b33770860b8e6ddbb1054c27995339-203"
"25/08/2021","08/06/2013","31/12/2013","1693","Wind Power Project in Maharashtra State, India","India","Energy industries (renewable/non-renewable sources)","Grid connected renewable electricity generation","4,390","4,390","11101-281102151-281106540-VCS-VCU-997-VER-IN-1-1693-08062013-31122013-0","","18/10/2021","0xee9930a62fbf85fb443ad3d7410da665ebc90b83","Other","TOUCAN-1.0-137-0x12d70d39890ce8b46b6e2c2fc5183e72b090da7a175f53237a30a384d3488834-204"
"20/08/2021","01/01/2015","31/12/2015","1162","Jiangxi Province Le'an County Forest Farm Carbon Sink Project","China","Agriculture Forestry and Other Land Use","Improved Forest Management","54,843","3,000","11059-276211362-276214361-VCS-VCU-279-VER-CN-14-1162-01012015-31122015-0","","13/10/2021","0xAf529400FF068AFbdc907c699B9184a4381481B0","Other","TOUCAN-1.0-137-0xec0299dd208ebc5b35b2021c36e5b77ff5ac53805ed387c232468d228bd071a2-34"
